City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.04,broken clouds,3.07,172.79,Isles Sunset Lodge
4,Rikitea,PF,75.56,overcast clouds,-23.12,-134.97,Pension Maro'i
5,Atuona,PF,78.15,light rain,-9.8,-139.03,Villa Enata
7,Vaitape,PF,81.1,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
11,Sarangani,PH,83.75,broken clouds,5.4,125.46,Ballistic Islet
21,Kavaratti,IN,82.87,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
22,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
24,Geraldton,AU,93.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
29,Srandakan,ID,86.5,clear sky,-7.94,110.25,Puri Brata
32,Charters Towers,AU,90.84,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
35,Kulhudhuffushi,MV,82.31,scattered clouds,6.62,73.07,Haajy Guest House 1
39,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Bengkulu,ID,76.6,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
47,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
48,Boa Vista,BR,84.2,light rain,2.82,-60.67,Aipana Plaza Hotel
52,Kanniyakumari,IN,80.31,scattered clouds,8.08,77.57,Sparsa
53,Vila Velha,BR,79.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
55,Hilo,US,80.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
57,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
59,Caravelas,BR,76.46,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
64,Tessaoua,NE,80.4,clear sky,13.76,7.99,Benin Dan Kaabou Heberge
67,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
70,Lorengau,PG,84.15,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
71,Ca Mau,VN,86.45,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
74,Taoudenni,ML,75.25,clear sky,22.68,-3.98,
78,Hambantota,LK,80.2,overcast clouds,6.12,81.12,Bungalow 63
83,Ciudad Bolivar,VE,82.76,broken clouds,8.12,-63.55,Hotel Edi
85,Busselton,AU,82.99,clear sky,-33.65,115.33,Observatory Guest House
94,Bubaque,GW,84.2,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
96,Arraial Do Cabo,BR,75.02,light rain,-22.97,-42.03,Pousada Porto Praia
100,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
102,Sao Joao Da Barra,BR,75.61,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
103,Dabou,CI,80.6,scattered clouds,5.33,-4.38,Le Cognac de Dabou
110,Barra Patuca,HN,79.95,light rain,15.8,-84.28,
113,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
114,Hithadhoo,MV,82.9,broken clouds,-0.6,73.08,Scoop Guest House
118,Sulangan,PH,83.79,light rain,11.14,123.72,Maia's Beach Resort
119,Canavieiras,BR,76.44,overcast clouds,-15.68,-38.95,Bahiadomizil
120,Bluefields,NI,79.12,clear sky,12.01,-83.76,Nicaraguan Typical House Downtown
126,Srivardhan,IN,78.82,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
135,Biloela,AU,89.1,clear sky,-24.42,150.5,Silo Motor Inn
136,Kahului,US,87.8,broken clouds,20.89,-156.47,Maui Seaside Hotel
139,Malindi,KE,76.3,moderate rain,-3.22,40.12,African House Resort
142,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
143,Honiara,SB,84.2,shower rain,-9.43,159.95,Heritage Park Hotel
145,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
149,Gold Coast,AU,82.99,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
151,Bahia Honda,CU,77.95,light rain,22.9,-83.16,Casa Gualberto - Deysi
156,Dutlwe,BW,75.11,broken clouds,-23.98,23.9,
