City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,2020-10-30 02:15:15,3.07,172.79,82.04,75,72,11.52,broken clouds
1,Dudinka,RU,2020-10-30 02:24:56,69.41,86.18,8.24,92,90,12.44,overcast clouds
2,Luderitz,NA,2020-10-30 02:19:39,-26.65,15.16,56.39,74,0,27.83,clear sky
3,Upernavik,GL,2020-10-30 02:18:55,72.79,-56.15,22.91,97,100,5.03,light snow
4,Rikitea,PF,2020-10-30 02:17:50,-23.12,-134.97,75.56,73,100,6.73,overcast clouds
5,Atuona,PF,2020-10-30 02:15:15,-9.8,-139.03,78.15,73,86,15.39,light rain
6,Sarkand,KZ,2020-10-30 02:24:57,45.41,79.92,34.99,69,42,2.93,scattered clouds
7,Vaitape,PF,2020-10-30 02:24:57,-16.52,-151.75,81.1,77,0,9.89,clear sky
8,Tasiilaq,GL,2020-10-30 02:17:58,65.61,-37.64,35.6,64,100,24.16,light rain
9,Mount Gambier,AU,2020-10-30 02:19:25,-37.83,140.77,62.6,63,75,12.75,broken clouds
10,Mutsu,JP,2020-10-30 02:24:58,41.29,141.22,51.8,62,75,11.41,broken clouds
11,Sarangani,PH,2020-10-30 02:24:58,5.4,125.46,83.75,77,57,12.86,broken clouds
12,Yellowknife,CA,2020-10-30 02:16:44,62.46,-114.35,16.0,94,80,3.58,broken clouds
13,Punta Arenas,CL,2020-10-30 02:18:18,-53.15,-70.92,44.6,75,75,5.82,broken clouds
14,Puerto Ayora,EC,2020-10-30 02:18:07,-0.74,-90.35,68.0,95,100,3.0,overcast clouds
15,Yar-Sale,RU,2020-10-30 02:22:54,66.83,70.83,17.01,97,100,8.41,overcast clouds
16,Bluff,NZ,2020-10-30 02:18:19,-46.6,168.33,61.0,91,100,1.99,light rain
17,Mataura,NZ,2020-10-30 02:17:49,-46.19,168.86,61.0,91,100,1.99,overcast clouds
18,Port Elizabeth,ZA,2020-10-30 02:17:51,-33.92,25.57,55.4,82,0,10.29,clear sky
19,Bud,US,2020-10-30 02:20:59,39.45,-86.18,45.0,87,90,9.17,overcast clouds
20,Vysokopillya,UA,2020-10-30 02:25:00,47.49,33.53,48.2,87,40,3.33,scattered clouds
21,Kavaratti,IN,2020-10-30 02:25:00,10.57,72.64,82.87,68,0,6.98,clear sky
22,Natal,BR,2020-10-30 02:25:00,-5.79,-35.21,78.8,78,40,9.17,scattered clouds
