City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Evensk,RU,2020-10-28 03:58:27,61.95,159.23,28.99,82,0,8.23
1,Pisco,PE,2020-10-28 03:49:39,-13.7,-76.22,63.0,82,0,8.05
2,Qaanaaq,GL,2020-10-28 03:50:34,77.48,-69.36,13.5,82,96,12.15
3,Cidreira,BR,2020-10-28 03:52:31,-30.18,-50.21,62.15,85,100,13.11
4,Hermanus,ZA,2020-10-28 03:50:28,-34.42,19.23,59.0,90,99,1.01
5,Lebu,CL,2020-10-28 03:51:58,-37.62,-73.65,50.92,88,100,12.33
6,Koindu,GN,2020-10-28 03:58:28,8.44,-10.33,68.2,91,30,0.92
7,Dikson,RU,2020-10-28 03:51:36,73.51,80.55,3.99,94,97,18.63
8,Wonthaggi,AU,2020-10-28 03:58:29,-38.6,145.59,73.0,71,46,13.09
9,Miyako,JP,2020-10-28 03:58:29,39.64,141.95,58.35,57,1,7.38
10,High Level,CA,2020-10-28 03:51:08,58.52,-117.14,26.6,92,90,6.93
11,Punta Arenas,CL,2020-10-28 03:50:33,-53.15,-70.92,41.0,80,40,21.92
12,Mecca,SA,2020-10-28 03:48:09,21.43,39.83,74.26,58,0,0.65
13,Dossor,KZ,2020-10-28 03:58:30,47.53,52.98,33.85,84,0,7.61
14,Ribeira Grande,PT,2020-10-28 03:50:32,38.52,-28.7,62.87,61,100,4.65
15,Hobyo,SO,2020-10-28 03:52:07,5.35,48.53,79.97,75,4,6.38
16,Mar Del Plata,AR,2020-10-28 03:51:06,-38.0,-57.56,57.0,100,0,5.82
17,Kongsberg,NO,2020-10-28 03:58:31,59.67,9.65,42.01,96,89,3.51
18,Batsfjord,NO,2020-10-28 03:58:31,70.63,29.72,37.4,93,75,14.99
19,Jamestown,US,2020-10-28 03:50:41,42.1,-79.24,41.0,100,90,4.92
20,Ushuaia,AR,2020-10-28 03:50:25,-54.8,-68.3,44.6,48,40,12.75
21,New Norfolk,AU,2020-10-28 03:58:31,-42.78,147.06,62.01,55,91,1.99
22,Husavik,IS,2020-10-28 03:52:11,66.04,-17.34,37.4,74,90,4.7
23,Yellowknife,CA,2020-10-28 03:50:53,62.46,-114.35,14.0,72,40,6.93
24,Castro,BR,2020-10-28 03:51:45,-24.79,-50.01,56.66,74,0,4.45
25,Esperance,AU,2020-10-28 03:51:55,-33.87,121.9,68.0,72,75,18.34
26,Banovici,BA,2020-10-28 03:58:32,44.41,18.52,39.2,100,99,1.12
27,Saskylakh,RU,2020-10-28 03:50:49,71.92,114.08,6.98,93,100,14.27
28,Rikitea,PF,2020-10-28 03:50:24,-23.12,-134.97,75.42,84,100,15.5
29,Kununurra,AU,2020-10-28 03:49:30,-15.77,128.73,93.2,46,53,5.82
30,Barrow,US,2020-10-28 03:50:49,71.29,-156.79,28.4,74,75,23.04
31,Coolum Beach,AU,2020-10-28 03:51:35,-26.53,153.1,75.99,80,54,5.01
32,Lufilufi,WS,2020-10-28 03:58:34,-13.87,-171.6,84.2,83,75,13.87
33,Busselton,AU,2020-10-28 03:51:34,-33.65,115.33,68.0,57,14,7.83
34,Caluquembe,AO,2020-10-28 03:58:34,-13.78,14.68,60.76,89,52,4.56
35,Albany,US,2020-10-28 03:50:42,42.6,-73.97,44.01,86,100,0.45
36,Atuona,PF,2020-10-28 03:50:54,-9.8,-139.03,78.78,73,1,18.9
37,Ambon,ID,2020-10-28 03:57:38,-3.7,128.18,84.45,71,41,10.42
38,La Ronge,CA,2020-10-28 03:52:31,55.1,-105.28,28.4,86,90,9.17
39,Port Alfred,ZA,2020-10-28 03:50:32,-33.59,26.89,63.34,83,54,11.34
40,Nikolskoye,RU,2020-10-28 03:51:18,59.7,30.79,52.0,87,90,11.18
41,Kapoeta,SS,2020-10-28 03:58:35,4.77,33.59,76.46,68,35,5.39
42,Darovskoy,RU,2020-10-28 03:58:36,58.77,47.96,31.05,97,0,7.92
43,Hithadhoo,MV,2020-10-28 03:51:30,-0.6,73.08,84.49,66,95,10.87
44,Isilkul,RU,2020-10-28 03:52:40,54.91,71.27,24.06,95,100,18.21
45,Tocache,PE,2020-10-28 03:58:36,-8.18,-76.51,71.92,89,100,1.81
46,Leirvik,NO,2020-10-28 03:58:37,59.78,5.5,48.99,88,88,5.01
47,Saint-Philippe,RE,2020-10-28 03:50:38,-21.36,55.77,77.0,61,0,6.93
48,Avarua,CK,2020-10-28 03:47:47,-21.21,-159.78,71.6,88,100,9.17
49,Upernavik,GL,2020-10-28 03:50:46,72.79,-56.15,15.17,78,0,5.82
50,Daloa,CI,2020-10-28 03:58:38,6.88,-6.45,70.05,99,38,2.08
51,Hervey Bay,AU,2020-10-28 03:58:38,-25.3,152.85,80.01,70,21,5.01
52,Bluff,NZ,2020-10-28 03:50:28,-46.6,168.33,55.0,76,72,11.01
53,Kokkola,FI,2020-10-28 03:58:38,63.84,23.13,46.0,100,0,8.05
54,Prieska,ZA,2020-10-28 03:58:38,-29.66,22.75,67.55,24,34,2.8
55,Chuy,UY,2020-10-28 03:52:20,-33.7,-53.46,62.11,97,100,8.48
56,Narsaq,GL,2020-10-28 03:51:26,60.92,-46.05,30.2,74,100,1.12
57,Georgetown,MY,2020-10-28 03:51:48,5.41,100.34,87.8,74,20,5.82
58,Aklavik,CA,2020-10-28 03:49:09,68.22,-135.01,10.4,85,90,2.24
59,Waipawa,NZ,2020-10-28 03:58:39,-41.41,175.52,64.99,67,84,11.41
60,Port Elizabeth,ZA,2020-10-28 03:51:54,-33.92,25.57,60.8,87,0,5.82
61,Chokurdakh,RU,2020-10-28 03:50:36,70.63,147.92,11.79,97,100,5.99
